timestamp,city,temperature,description
2026-04-16T04:44:38.650Z,Cardiff,10.61,overcast clouds
2026-04-16T07:19:25.908Z,Cardiff,11.01,broken clouds
2026-04-16T09:09:07.416Z,Cardiff,12.88,broken clouds
2026-04-16T10:55:13.876Z,Cardiff,13.9,few clouds
2026-04-16T13:06:23.201Z,Cardiff,15.18,overcast clouds
2026-04-16T15:18:44.443Z,Cardiff,14.74,overcast clouds
2026-04-16T17:03:14.849Z,Cardiff,14.2,overcast clouds
2026-04-16T18:58:47.425Z,Cardiff,12.88,overcast clouds
2026-04-16T20:38:51.039Z,Cardiff,11.42,overcast clouds
2026-04-16T22:30:49.376Z,Cardiff,11.35,few clouds
2026-04-17T01:29:04.259Z,Cardiff,10.38,overcast clouds
2026-04-17T04:41:56.409Z,Cardiff,11.57,overcast clouds
2026-04-17T07:19:46.788Z,Cardiff,11.75,overcast clouds
2026-04-17T09:08:25.384Z,Cardiff,12.78,overcast clouds
2026-04-17T10:46:08.820Z,Cardiff,14.42,overcast clouds
2026-04-17T12:56:26.033Z,Cardiff,14.57,light rain
2026-04-17T14:47:40.177Z,Cardiff,13.2,light rain
2026-04-17T16:43:10.692Z,Cardiff,12.66,overcast clouds
2026-04-17T18:43:39.386Z,Cardiff,11.81,few clouds
2026-04-17T20:35:42.194Z,Cardiff,10.75,scattered clouds
2026-04-17T22:28:52.978Z,Cardiff,10.11,scattered clouds
2026-04-18T01:22:47.271Z,Cardiff,9.68,overcast clouds
2026-04-18T04:24:22.234Z,Cardiff,7.58,broken clouds
2026-04-18T06:56:46.827Z,Cardiff,9.79,broken clouds
2026-04-18T08:37:51.859Z,Cardiff,11.46,scattered clouds
2026-04-18T10:31:38.951Z,Cardiff,13.64,few clouds
2026-04-18T12:39:00.755Z,Cardiff,13.53,few clouds
2026-04-18T14:34:52.520Z,Cardiff,14.57,broken clouds
2026-04-18T16:28:16.631Z,Cardiff,14.41,broken clouds
